price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,volume_0,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6,volume_7,volume_8,volume_9,symbol,revenue,is_good
-0.0737,-0.07361,-0.07365,-0.0736,0.07368,0.07377,0.07371,0.07372,-0.07369,-0.07367,-230396.1,-104292.4,-311148.1,-714981.4,42909.2,19501.6,39039.7,34832.6,-175803.6,-63511.1,ARPAUSDT,2.1475769999999983,1.0
-0.0737,-0.07361,-0.07365,-0.0736,0.07368,0.07377,0.07371,0.07372,-0.07369,-0.07367,-230396.1,-104292.4,-311148.1,-714981.4,42909.2,19501.6,39039.7,34832.6,-175803.6,-63511.1,ARPAUSDT,0.4373240000000038,0.0
-0.07338,0.07343,-0.07333,-0.07327,-0.07318,0.07319,0.07327,0.07327,-0.07321,0.07323,-104050.2,61938.3,-16520.4,-17396.5,-263553.1,84925.2,150442.4,28977.9,-36423.4,164895.9,ARPAUSDT,1.8097700000000003,1.0
0.07311,0.07331,-0.07312,0.07327,-0.07313,-0.0731,0.07315,-0.0731,0.07321,0.07329,109306.4,30533.6,-228990.8,64275.0,-112184.2,-110135.6,140676.8,-67372.5,80428.7,26242.2,ARPAUSDT,-0.2680249999999944,0.0
0.07311,0.07331,-0.07312,0.07327,-0.07313,-0.0731,0.07315,-0.0731,0.07321,0.07329,109306.4,30533.6,-228990.8,64275.0,-112184.2,-110135.6,140676.8,-67372.5,80428.7,26242.2,ARPAUSDT,-0.2680249999999944,0.0
0.12925,-0.12837,-0.12765,-0.12776,-0.12806,-0.12755,-0.127,-0.12684,0.12705,-0.12672,97116.8,-183011.0,-414642.9,-1053751.5,-170677.4,-20026.2,-146989.2,-233373.9,73631.1,-197526.6,ARPAUSDT,0.5134780000000063,1.0
-0.15269,0.15321,-0.15118,-0.15028,0.15117,0.1531,-0.15296,-0.15195,0.152,0.15245,-5001652.6,3517881.8,-4074141.4,-2125921.5,1215254.0,1794617.8,-1097114.0,-1269026.6,1716118.7,1189456.3,ARPAUSDT,2.031706,1.0
-0.16156,-0.16094,0.16144,0.16195,-0.16169,0.16178,0.16217,0.16206,0.16223,-0.1617,-303633.8,-1132128.5,288745.6,257091.9,-1429140.3,342368.0,239349.2,237144.7,154788.2,-265923.1,ARPAUSDT,0.5529509999999931,1.0
0.12898,0.12925,0.12925,-0.12837,-0.12765,-0.12776,-0.12806,-0.12755,-0.127,-0.12684,340848.3,393862.3,97116.8,-183011.0,-414642.9,-1053751.5,-170677.4,-20026.2,-146989.2,-233373.9,ARPAUSDT,1.344070000000002,1.0
0.12898,0.12925,0.12925,-0.12837,-0.12765,-0.12776,-0.12806,-0.12755,-0.127,-0.12684,340848.3,393862.3,97116.8,-183011.0,-414642.9,-1053751.5,-170677.4,-20026.2,-146989.2,-233373.9,ARPAUSDT,3.6672219999999953,1.0
0.13819,-0.13782,0.13816,-0.13773,-0.13727,-0.13697,0.13707,-0.13705,0.13746,-0.13651,200312.8,-239750.5,211711.1,-112869.9,-226194.8,-164507.8,244957.6,-358023.5,311677.4,-312053.7,ARPAUSDT,-1.6711439999999982,0.0
-0.13763,0.13819,-0.13782,0.13816,-0.13773,-0.13727,-0.13697,0.13707,-0.13705,0.13746,-467013.3,200312.8,-239750.5,211711.1,-112869.9,-226194.8,-164507.8,244957.6,-358023.5,311677.4,ARPAUSDT,0.5134780000000063,1.0
0.07189,0.07199,0.07205,0.07205,-0.07204,0.07202,0.07207,0.0721,0.0722,-0.07208,46598.4,78696.0,352496.5,6969.3,-61216.5,18184.2,23666.6,127486.7,55046.5,-106951.4,BEAMUSDT,0.7191389999999984,1.0
0.07626,-0.07621,0.07621,-0.07621,0.0764,0.07645,0.07647,-0.07634,0.07635,0.07634,38697.5,-49229.5,14178.3,-32305.0,165843.0,26697.0,24501.4,-36250.3,59566.9,41710.8,BEAMUSDT,0.7191389999999984,1.0
-0.13763,0.13819,-0.13782,0.13816,-0.13773,-0.13727,-0.13697,0.13707,-0.13705,0.13746,-467013.3,200312.8,-239750.5,211711.1,-112869.9,-226194.8,-164507.8,244957.6,-358023.5,311677.4,ARPAUSDT,-1.6137039999999985,0.0
0.07189,0.07199,0.07205,0.07205,-0.07204,0.07202,0.07207,0.0721,0.0722,-0.07208,46598.4,78696.0,352496.5,6969.3,-61216.5,18184.2,23666.6,127486.7,55046.5,-106951.4,BEAMUSDT,0.9666079999999937,1.0
-0.12442,0.12503,0.12534,0.12649,-0.12538,0.12546,0.1255,-0.12504,0.12538,-0.12511,-578313.3,667553.2,426506.7,1389258.3,-1010747.3,630516.8,201812.2,-866383.5,607517.7,-298764.1,BEAMUSDT,-0.21639199999999903,0.0
-0.13759,0.13757,0.13797,-0.13746,-0.13733,-0.1373,0.13745,-0.13742,0.1375,0.13749,-581026.0,215134.4,358802.1,-295821.0,-45952.4,-52947.4,97278.6,-54701.2,27445.1,30068.8,BEAMUSDT,0.4373240000000038,0.0
-0.0737,-0.07361,-0.07365,-0.0736,0.07368,0.07377,0.07371,0.07372,-0.07369,-0.07367,-230396.1,-104292.4,-311148.1,-714981.4,42909.2,19501.6,39039.7,34832.6,-175803.6,-63511.1,FUNUSDT,1.8367350000000044,1.0
-0.0737,-0.07361,-0.07365,-0.0736,0.07368,0.07377,0.07371,0.07372,-0.07369,-0.07367,-230396.1,-104292.4,-311148.1,-714981.4,42909.2,19501.6,39039.7,34832.6,-175803.6,-63511.1,FUNUSDT,0.8163270000000011,1.0
-0.0737,-0.07361,-0.07365,-0.0736,0.07368,0.07377,0.07371,0.07372,-0.07369,-0.07367,-230396.1,-104292.4,-311148.1,-714981.4,42909.2,19501.6,39039.7,34832.6,-175803.6,-63511.1,FUNUSDT,2.1462899999999934,1.0
